Name,Argument type,Function
SYSTEM.COPY,"src, dst, n: INTEGER",copy <code>n</code> consecutive words from <code>src</code> to <code>dst</code>
SYSTEM.GET,a: INTEGER; v: any basic type,<code>v := mem[a]</code>
SYSTEM.LED,n: INTEGER,display <code>n</code> on LEDs
SYSTEM.PUT,a: INTEGER; x: any basic type,<code>mem[a] := x</code>
